"Action","Bill ID","Date","Actor"
"Offered.","SR 130","2013-03-13 00:00:00","upper"
"Referred to THA/WTL/TEC.","SR 130","2013-03-19 00:00:00","upper"
"The committee(s) on THA/WTL/TEC has scheduled a public hearing on 04-02-13  1:30PM in conference room 225.","SR 130","2013-03-27 00:00:00","upper"
"The committee(s) on  THA recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in THA were as follows: 7 Aye(s): Senator(s) Galuteria, Keith-Agaran, Kahele, Kidani, Shimabukuro, Solomon, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Hee.","SR 130","2013-04-02 00:00:00","upper"
"The committee(s) on  TEC recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in TEC were as follows: 3 Aye(s): Senator(s) Wakai, Gabbard, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Nishihara, Tokuda.","SR 130","2013-04-02 00:00:00","upper"
"The committee(s) on  WTL recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WTL were as follows: 5 Aye(s): Senator(s) Solomon, Shimabukuro, Ruderman, L. Thielen, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Dela Cruz, Ihara.","SR 130","2013-04-02 00:00:00","upper"
"Reported from THA/WTL/TEC (Stand. Com. Rep. No. 1424) with recommendation of adoption, as amended (SD 1).","SR 130","2013-04-11 00:00:00","upper"
"One Day Notice 04-12-13.","SR 130","2013-04-11 00:00:00","upper"
"Report and Resolution Adopted, as amended (SD 1).","SR 130","2013-04-12 00:00:00","upper"
"Certified copies of resolutions sent, 06-07-13.","SR 130","2013-06-07 00:00:00","upper"
"Pending introduction.","HB 430","2013-01-18 00:00:00","lower"
"Introduced and Passed First Reading","HB 430","2013-01-22 00:00:00","lower"
"Referred to FIN, referral sheet 3","HB 430","2013-01-22 00:00:00","lower"
"Bill scheduled to be heard by FIN on Wednesday, 02-13-13  2:00PM in House conference room 308.","HB 430","2013-02-11 00:00:00","lower"
"The committees on FIN recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 15 Ayes: Representative(s) Luke, Nishimoto, Johanson, Hashem, Ing, Jordan, Kobayashi, Lowen, Morikawa, Onishi, Takayama, Tokioka, Woodson, Yamashita, Fukumoto; Ayes with reservations: none;  Noes: none; and 2 Excused: Representative(s) Cullen, Ward.   ","HB 430","2013-02-13 00:00:00","lower"
"Reported from FIN (Stand. Com. Rep. No. 600) as amended in HD 1, recommending passage on Second Reading and placement on the calendar for Third Reading.","HB 430","2013-02-15 00:00:00","lower"
"Passed Second Reading as amended in HD 1; placed on the calendar for Third Reading with none voting aye with reservations; none voting no (0) and none excused (0).","HB 430","2013-02-19 00:00:00","lower"
"Deferred one day Friday, 03-01-13.","HB 430","2013-02-28 00:00:00","lower"
"Passed Third Reading with none voting aye with reservations; none voting no (0) and Coffman, Hanohano, Morikawa, Nakashima, Takumi excused (5).  Transmitted to Senate.","HB 430","2013-03-01 00:00:00","lower"
"Received from House (Hse. Com. No. 144).","HB 430","2013-03-05 00:00:00","upper"
"Passed First Reading.","HB 430","2013-03-05 00:00:00","upper"
"Referred to WAM.","HB 430","2013-03-05 00:00:00","upper"
"The committee(s) on WAM has scheduled a public hearing on 03-15-13  9:05AM in conference room 211.","HB 430","2013-03-08 00:00:00","upper"
"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WAM were as follows: 13 Aye(s): Senator(s) Ige, Kidani, Chun Oakland, Dela Cruz, English, Espero, Kahele, Keith-Agaran, Kouchi, Ruderman, L. Thielen, Tokuda, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.","HB 430","2013-03-15 00:00:00","upper"
"Reported from WAM (Stand. Com. Rep. No. 1049) with recommendation of passage on Second Reading, as amended (SD 1) and placement on the calendar for Third Reading.","HB 430","2013-03-25 00:00:00","upper"
"Report adopted; Passed Second Reading, as amended (SD 1). ","HB 430","2013-03-25 00:00:00","upper"
"48 Hrs. Notice 03-27-13.","HB 430","2013-03-25 00:00:00","upper"
"Passed Third Reading, as amended (SD 1). Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.","HB 430","2013-03-27 00:00:00","upper"
"Received from Senate (Sen. Com. No. 410) in amended form (SD 1).","HB 430","2013-03-27 00:00:00","lower"
"House disagrees with Senate amendment (s).","HB 430","2013-03-28 00:00:00","lower"
"Received notice of disagreement (Hse. Com. No. 385).","HB 430","2013-04-01 00:00:00","upper"
"House conferees appointed: Luke Chair; Nishimoto, Yamashita, Ward.","HB 430","2013-04-15 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 697).","HB 430","2013-04-16 00:00:00","upper"
"Senate Conferees appointed: Ige, Chair; Keith-Agaran, Kidani, Kouchi, Slom.","HB 430","2013-04-16 00:00:00","upper"
"Received notice of Senate conferees (Sen. Com. No. 695).","HB 430","2013-04-16 00:00:00","lower"
"Bill scheduled for Conference Committee Meeting on Thursday, 04-18-13  3:00PM in conference room 309.","HB 430","2013-04-17 00:00:00","lower"
"Conference Committee Meeting will reconvene on Monday 04-22-13  3:00PM in conference room 309.","HB 430","2013-04-18 00:00:00","lower"
"Conference Committee Meeting will reconvene on Wednesday 04-24-13  3:00PM in conference room 309.","HB 430","2013-04-22 00:00:00","lower"
"Conference Committee Meeting will reconvene on Friday 04-26-13  1:30PM in conference room 309.","HB 430","2013-04-24 00:00:00","lower"
"The Conference Committee recommends that the measure be Passed, with Amendments. The votes were as follows: 3 Ayes: Representative(s) Luke, Nishimoto, Ward; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Yamashita.","HB 430","2013-04-26 00:00:00","lower"
"The Conference committee recommends that the measure be PASSED, WITH AMENDMENTS. The votes of the Senate Conference Managers were as follows: 4 Aye(s): Senator(s) Ige, Keith-Agaran, Kidani, Kouchi; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Slom.","HB 430","2013-04-26 00:00:00","upper"
