"Bill ID","Referred-Type","Date","Vote-Type","Voter-Name"
"SR 130","THA","2013-04-02 00:00:00","Aye(s)","Galuteria"
"SR 130","THA","2013-04-02 00:00:00","Aye(s)","Keith-Agaran"
"SR 130","THA","2013-04-02 00:00:00","Aye(s)","Kahele"
"SR 130","THA","2013-04-02 00:00:00","Aye(s)","Kidani"
"SR 130","THA","2013-04-02 00:00:00","Aye(s)","Shimabukuro"
"SR 130","THA","2013-04-02 00:00:00","Aye(s)","Solomon"
"SR 130","THA","2013-04-02 00:00:00","Aye(s)","Slom"
"SR 130","THA","2013-04-02 00:00:00","Excused","Hee."
"SR 130","TEC","2013-04-02 00:00:00","Aye(s)","Wakai"
"SR 130","TEC","2013-04-02 00:00:00","Aye(s)","Gabbard"
"SR 130","TEC","2013-04-02 00:00:00","Aye(s)","Slom"
"SR 130","TEC","2013-04-02 00:00:00","Excused","Nishihara"
"SR 130","TEC","2013-04-02 00:00:00","Excused","Tokuda."
"SR 130","WTL","2013-04-02 00:00:00","Aye(s)","Solomon"
"SR 130","WTL","2013-04-02 00:00:00","Aye(s)","Shimabukuro"
"SR 130","WTL","2013-04-02 00:00:00","Aye(s)","Ruderman"
"SR 130","WTL","2013-04-02 00:00:00","Aye(s)","L.Thielen"
"SR 130","WTL","2013-04-02 00:00:00","Aye(s)","Slom"
"SR 130","WTL","2013-04-02 00:00:00","Excused","DelaCruz"
"SR 130","WTL","2013-04-02 00:00:00","Excused","Ihara."
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Ige"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Kidani"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","ChunOakland"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","DelaCruz"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","English"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Espero"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Kahele"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Keith-Agaran"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Kouchi"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Ruderman"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","L.Thielen"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Tokuda"
"HB 430","WAM","2013-03-15 00:00:00","Aye(s)","Slom"
"SB 867","JDL","2013-02-11 00:00:00","Aye(s)","Hee"
"SB 867","JDL","2013-02-11 00:00:00","Aye(s)","Shimabukuro"
"SB 867","JDL","2013-02-11 00:00:00","Aye(s)","Gabbard"
"SB 867","JDL","2013-02-11 00:00:00","Aye(s) with reservations","Ihara"
"SB 867","JDL","2013-02-11 00:00:00","No(es)","Slom"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","Ige"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","Kidani"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","ChunOakland"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","DelaCruz"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","English"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","Espero"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","Kahele"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","Keith-Agaran"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","Ruderman"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","L.Thielen"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s)","Tokuda"
"SB 867","WAM","2013-02-21 00:00:00","Aye(s) with reservations","Slom"
"SB 867","WAM","2013-02-21 00:00:00","Excused","Kouchi."
"SB 535","JDL","2013-02-07 00:00:00","Aye(s)","Hee"
