"Title","ID","State","Session","Chamber","Introduction Date"
"REQUESTING THE DEPARTMENT OF LAND AND NATURAL RESOURCES AND THE STATE FOUNDATION ON CULTURE AND THE ARTS TO ASSIST THE FRIENDS OF LILIUOKALANI GARDENS IN ITS PREPARATIONS TO COMMEMORATE THE CENTENNIAL OF THE DEATH OF QUEEN LILIUOKALANI AND THE ESTABLISHMENT OF THE GARDEN SHE FOSTERED.","SR 130","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"RELATING TO TAXATION.","HB 430","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO THE HAWAII EMPLOYER-UNION HEALTH BENEFITS TRUST FUND.","SB 867","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO LABOR.","SB 535","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO FIREARMS.","SB 69","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO SENTENCING.","SB 68","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO PARENTAL RIGHTS.","SB 529","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO NURSING.","HB 654","hi","2013 Regular Session","lower","2013-01-19 00:00:00"
"RELATING TO THE HI GROWTH INITIATIVE.","HB 858","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE PENAL CODE.","HB 587","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO THE HAWAII HEALTH SYSTEMS CORPORATION.","HB 417","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO FERAL BIRDS.","HB 619","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO SIMULATED FIREARMS.","SB 2","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO THE OFFICE OF HAWAIIAN AFFAIRS.","SB 3","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO VACCINATION GUIDELINES.","SB 1138","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO WIND ENERGY FACILITIES.","HB 1149","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO THE HAWAII HEALTH SYSTEMS CORPORATION.","HB 1130","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO HUMAN TRAFFICKING.","HB 1068","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO COURT ADVISEMENT CONCERNING ALIEN STATUS.","HB 1059","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO NATIVE WILDLIFE.","HB 988","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE JAPANESE AMERICAN EXPERIENCE IN HAWAII.","HB 1396","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO OPEN DATA.","HB 632","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO THE PUBLIC UTILITIES COMMISSION.","HB 1405","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
