"ID","Bill ID","Date","Passed","Other Count","Yes Count","No Count"
"HIV00015033","SR 130","2013-04-02 00:00:00","Yes",2,3,0
"HIV00015032","SR 130","2013-04-02 00:00:00","Yes",1,7,0
"HIV00015034","SR 130","2013-04-02 00:00:00","Yes",2,5,0
"HIV00012957","HB 430","2013-02-13 00:00:00","Yes",2,15,0
"HIV00014009","HB 430","2013-03-15 00:00:00","Yes",0,13,0
"HIV00015884","HB 430","2013-04-26 00:00:00","Yes",1,3,0
"HIV00016098","HB 430","2013-04-30 00:00:00","Yes",0,25,0
"HIV00015885","HB 430","2013-04-26 00:00:00","Yes",1,4,0
"HIV00013713","SB 867","2013-03-12 00:00:00","Yes",0,9,0
"HIV00012335","SB 867","2013-02-11 00:00:00","Yes",0,4,1
"HIV00013156","SB 867","2013-02-21 00:00:00","Yes",1,12,0
"HIV00015854","SB 867","2013-04-26 00:00:00","Yes",0,4,0
"HIV00015083","SB 867","2013-04-02 00:00:00","Yes",2,15,0
"HIV00015743","SB 867","2013-04-26 00:00:00","Yes",1,4,0
"HIV00016004","SB 867","2013-04-30 00:00:00","Yes",0,25,0
"HIV00014092","SB 535","2013-03-19 00:00:00","Yes",2,7,0
"HIV00012260","SB 535","2013-02-07 00:00:00","Yes",0,4,1
"HIV00015986","SB 535","2013-04-30 00:00:00","Yes",0,24,1
"HIV00015733","SB 535","2013-04-25 00:00:00","Yes",0,3,0
"HIV00014093","SB 535","2013-03-19 00:00:00","Yes",1,8,0
"HIV00015734","SB 535","2013-04-25 00:00:00","Yes",0,5,0
"HIV00015163","SB 535","2013-04-04 00:00:00","Yes",1,10,2
"HIV00013539","SB 69","2013-02-27 00:00:00","Yes",1,10,2
"HIV00013852","SB 69","2013-03-14 00:00:00","Yes",2,6,1
"HIV00012176","SB 69","2013-02-07 00:00:00","Yes",1,3,1
"HIV00014132","SB 69","2013-03-19 00:00:00","Yes",0,12,1
"HIV00015828","SB 69","2013-04-26 00:00:00","Yes",0,5,0
"HIV00015827","SB 69","2013-04-26 00:00:00","Yes",0,5,0
"HIV00014637","SB 69","2013-03-28 00:00:00","Yes",2,15,0
"HIV00015950","SB 69","2013-04-30 00:00:00","Yes",1,23,1
"HIV00012175","SB 68","2013-02-12 00:00:00","Yes",1,4,0
"HIV00014636","SB 68","2013-03-28 00:00:00","Yes",6,7,0
"HIV00015558","SB 68","2013-04-22 00:00:00","No",0,3,0
"HIV00015949","SB 68","2013-04-25 00:00:00","Yes",1,24,0
"HIV00011727","SB 529","2013-01-29 00:00:00","Yes",2,3,0
"HIV00013709","SB 529","2013-03-12 00:00:00","Yes",2,6,0
"HIV00015984","SB 529","2013-04-17 00:00:00","Yes",1,24,0
